id,artist,title,date_added
605,"Johnny Logan","Hold Me Now","2018-11-21 16:44:23.459701"
606,"Lady Ga Ga",Paparazzi,"2018-11-21 16:39:22.773846"
607,"The Rolling Stones","I Cant Get No Satisfaction","2018-11-21 16:35:22.155906"
608,"Žan Sercic & Gaja Prestor",Nazaj,"2018-11-21 16:32:21.652885"
609,Haddaway,"What Is Love","2018-11-21 16:31:21.500933"
610,"Pink Nate Ruess","Just Give Me A Reason","2018-11-21 16:19:17.739650"
611,"Led Zeppelin","Stairway To Heaven","2018-11-21 16:15:16.831724"
612,"Phil Collins","Can't Stop Loving You","2018-11-21 16:11:46.137887"
613,"Eddy Grant","I Don't Wanna Dance","2018-11-21 16:11:46.134757"
614,"Green Day","American Idiot","2018-11-21 16:10:15.821219"
615,"Ariana Grande","No Tears Left To Cry","2018-11-21 16:07:15.137291"
616,"Lighthouse Family","I Wish I Knew How It Would Feel To Be Free","2018-11-21 16:04:13.557087"
617,"Depeche Mode","Just Can't Get Enough","2018-11-21 16:01:43.113188"
618,"The Lumineers","Ho Hey","2018-11-21 16:00:42.954248"
619,"Backstreet Boys","I Want It That Way","2018-11-21 15:47:39.674409"
620,"Jess Glynne","Take Me Home","2018-11-21 15:47:39.671911"
621,Queen,"Crazy Little Thing Called Love","2018-11-21 15:44:39.200649"
622,"The Rolling Stones","Harlem Shuffle","2018-11-21 15:39:07.273398"
623,"Michael Jackson","The Way You Make Me Feel","2018-11-21 15:34:36.574179"
624,"Robin S","Show Me Love","2018-11-21 15:30:35.922194"
625,Sia,"Never Give Up","2018-11-21 15:29:35.763836"
626,"Parni Valjak","Jesen U Meni","2018-11-21 15:18:33.992061"
627,"Sam Smith","Stay With Me","2018-11-21 15:18:03.914721"
628,"Rod Stewart","Have I Told You Lately","2018-11-21 15:16:03.603827"
629,"Enrique Iglesias","The Rhythm Divine","2018-11-21 15:14:03.239620"
630,Neisha,"Mas Se Kje Cas","2018-11-21 15:10:32.694528"
631,"Rose Laurens",Africa,"2018-11-21 15:07:02.120617"
632,"Clean Bandit Feat. Demi Lovato",Solo,"2018-11-21 15:03:01.402085"
633,"Jon Secada","Just Another Day","2018-11-21 15:02:31.313313"
634,"Ed Sheeran","Galway Girl","2018-11-21 14:49:58.211246"
635,"Eros Ramazzotti","Se Bastasse Una Canzone","2018-11-21 14:45:27.521009"
636,"Gianna Nannini","Bello E Impossibile","2018-11-21 14:38:56.529842"
637,"Spin Doctors","Two Princess","2018-11-21 14:34:55.934061"
638,"Stevie Wonder","Part Time Lover","2018-11-21 14:30:55.244311"
639,Sonique,"It Feels So Good","2018-11-21 14:29:55.102972"
640,"Ten Sharp",You,"2018-11-21 14:21:23.672801"
641,"Clean Bandit Ft. Sean Paul & Anne-Marie",Rockabye,"2018-11-21 14:21:23.670524"
642,Dido,"Thank You","2018-11-21 12:25:08.248211"
643,"Kylie Minogue & Jason Donovan","Especially For You","2018-11-21 12:19:19.224582"
644,"Years & Years",Shine,"2018-11-21 12:13:20.651986"
645,"Leann Rimes","Can't Fight The Moonlight","2018-11-21 12:08:50.047199"
646,"Savage Garden","I Want You","2018-11-21 12:05:19.518179"
647,"Jonas Blue",Rise,"2018-11-21 12:00:48.885852"
648,"Paul Young","Come Back And Stay","2018-11-21 12:00:48.884774"
649,"Shania Twain",Ka-Ching!,"2018-11-21 11:48:17.116765"
650,"Nina Pušlar","Za Vedno","2018-11-21 11:44:16.545419"
651,Baltimora,"Tarzan Boy","2018-11-21 11:40:45.994740"
652,"Chesney Hawkes","The One And Only","2018-11-21 11:37:45.570516"
653,Klingande,Jubel,"2018-11-21 11:34:15.003602"
654,"Bee Gees",Alone,"2018-11-21 11:28:14.286317"
655,"Johnny Hates Jazz","Turn Back The Clock","2018-11-21 11:21:13.316489"
656,Cher,"The Shoop Shoop Song (It's In His Kiss)","2018-11-21 11:18:42.931530"
657,"Sarah Connor","From Zero To Hero","2018-11-21 11:18:42.930514"
658,Beyonce,Irreplaceable,"2018-11-21 11:11:11.627068"
659,"James Blunt","You'Re Beautiful","2018-11-21 11:10:41.560902"
660,"Tony Cetinski","Covjek Od Leda","2018-11-21 11:06:41.048193"
661,"Tiesto & Dzeko Feat. Preme & Post Malone","Jackie Chan","2018-11-21 11:01:40.432946"
662,"Billy Joel","My Life","2018-11-21 11:01:40.432172"
663,Madonna,"Like A Prayer","2018-11-21 10:49:38.751188"
664,"Jimmy Cliff","I Can See Clearly Now","2018-11-21 10:46:08.226749"
665,Shakira,"Whenever Wherever","2018-11-21 10:42:37.788106"
666,Magic,Rude,"2018-11-21 10:38:36.253534"
667,"Kc & The Sunshine Band","Give It Up","2018-11-21 10:35:05.748962"
668,Roxette,"Listen To Your Heart","2018-11-21 10:34:35.624496"
669,Pink,"Just Like A Pill","2018-11-21 10:22:02.980801"
670,"Murat & Jose","Od Ljudi Za Ljudi","2018-11-21 10:17:02.391835"
671,"Michael Jackson","Billie Jean","2018-11-21 10:13:01.816219"
672,"Puff Dady","I'll Be Missing You","2018-11-21 10:09:31.425322"
673,"Dua Lipa","New Rules","2018-11-21 10:05:30.945291"
674,Yes,"Owner Of A Lonely Heart","2018-11-21 10:01:00.426552"
675,"Inner Circle","Sweat (A La La La Long)","2018-11-21 10:01:00.424945"
